show_id,cast_id
s8,1
s8,2
s8,3
s8,4
s8,5
s8,6
s8,7
s8,8
s9,9
s9,10
s9,11
s9,12
s10,13
s10,14
s10,15
s10,16
s10,17
s10,18
s10,19
s10,20
s10,21
s10,22
s10,23
s13,24
s13,25
s13,26
s13,27
s13,28
s13,29
s13,30
s13,31
s13,32
s13,33
s13,34
s25,35
s25,36
s25,37
s25,38
s28,39
s28,40
s28,41
s28,42
s28,43
s28,44
s28,45
s28,46
s28,47
s28,48
s28,49
s29,50
s29,51
s29,52
s29,53
s29,54
s29,55
s29,56
s29,57
s29,58
s29,59
s30,60
s30,61
s30,62
s30,63
s30,64
s30,65
s30,66
s30,67
s30,68
s30,69
s39,70
s39,71
s39,72
s39,73
s39,74
s39,75
s39,76
s39,77
s39,78
s42,79
s42,80
s42,68
s42,81
s42,82
s42,83
s42,84
s42,85
s42,86
s42,87
s43,79
s43,81
s43,82
s43,88
s43,84
s43,89
s43,90
s43,91
s43,92
s43,93
s44,94
s44,95
s44,96
s44,97
s44,98
s44,99
s44,100
s44,101
s44,102
s44,103
s45,81
s45,104
s45,105
s45,106
s45,107
s45,108
s45,109
s45,110
s47,111
s47,112
s47,113
s47,114
s47,115
s47,116
s47,117
s47,118
s47,119
s47,120
s49,111
s49,121
s49,122
s49,123
s49,124
s49,125
s49,126
s49,127
s49,128
s49,129
s49,130
s52,131
s52,132
s52,133
s52,134
s52,135
s52,136
s52,137
s52,138
s52,139
s52,140
s53,131
s53,132
s53,134
s53,135
s53,136
s53,141
s53,142
s53,143
s54,131
s54,132
s54,134
s54,135
s54,136
s54,137
s54,141
s54,144
s54,145
s54,146
s55,131
s55,132
s55,134
s55,135
s55,136
s55,138
s55,137
s55,147
s55,141
s55,148
s57,149
s57,150
s57,151
s57,152
s57,153
s57,154
s57,155
s57,156
s57,157
s57,158
s58,149
s58,150
s58,159
s58,160
s58,161
s58,152
s58,151
s58,162
s58,163
s58,164
s58,165
s59,149
s59,150
s59,152
s59,164
s59,162
s59,166
s59,167
s59,168
s59,163
s59,165
s59,169
s59,170
s59,171
s60,149
s60,150
s60,169
s60,170
s60,172
s60,173
s60,174
s60,175
s60,176
s60,177
s60,178
s60,179
s60,180
s60,158
s60,181
s60,182
s60,152
s60,162
s60,183
s60,184
s60,185
s61,149
s61,150
s61,164
s61,151
s61,186
s61,187
s61,181
s61,188
s61,189
s61,190
s61,191
s61,192
s61,193
s61,139
s62,149
s62,194
s62,150
s62,162
s62,195
s62,196
s62,197
s62,198
s62,135
s62,199
s63,149
s63,150
s63,169
s63,152
s63,142
s63,200
s63,201
s63,202
s63,203
s63,204
s64,149
s64,159
s64,150
s64,152
s64,205
s64,206
s64,207
s64,208
s64,209
s64,210
s74,211
s74,212
s74,213
s74,214
s74,215
s74,216
s74,217
s74,218
s82,219
s82,220
s82,221
s82,222
s82,223
s82,224
s82,225
s85,226
s85,227
s85,228
s85,229
s85,230
s85,231
s85,232
s85,233
s85,234
s85,235
s91,236
s91,237
s91,238
s91,239
s91,240
s91,241
s91,242
s91,243
s95,244
s95,245
s95,246
s95,247
s95,248
s95,249
s95,250
s95,251
s95,252
s95,253
s95,254
s95,255
s97,256
s97,257
s97,258
s97,259
s97,260
s97,261
s97,262
s97,263
s97,264
s97,265
s106,266
s106,267
s106,268
s106,269
s106,270
s106,271
s106,272
s106,273
s106,274
s106,275
s106,276
s108,277
s108,278
s108,279
s108,280
s108,281
s108,282
s115,283
s115,284
s115,285
s115,286
s115,287
